policy_id,dataset,num_rules,ga_fitness,ga_coverage,ga_diversity,ga_suite_size,ga_time_s,jcsce_fitness,jcsce_coverage,jcsce_diversity,jcsce_suite_size,jcsce_time_s,rand_fitness,rand_coverage,rand_diversity,rand_suite_size,rand_time_s,improvement_rand,improvement_jcsce
authzforce_0152.xml,authzforce,1,0.9582,1.0,0.556,10,0.717,0.8493,1.0,0.6309,10,0.034,0.8287,1.0,0.6289,15,0.049,15.63,12.82
authzforce_0153.xml,authzforce,1,0.9582,1.0,0.556,10,0.859,0.8493,1.0,0.6309,10,0.06,0.8287,1.0,0.6289,15,0.122,15.63,12.82
authzforce_0154.xml,authzforce,1,0.9582,1.0,0.556,10,0.985,0.8493,1.0,0.6309,10,0.036,0.8287,1.0,0.6289,15,0.06,15.63,12.82
authzforce_0155.xml,authzforce,1,0.9582,1.0,0.556,10,0.749,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.056,15.63,12.82
authzforce_0156.xml,authzforce,1,0.9582,1.0,0.556,10,0.643,0.8493,1.0,0.6309,10,0.035,0.8287,1.0,0.6289,15,0.05,15.63,12.82
authzforce_0157.xml,authzforce,1,0.9582,1.0,0.556,10,0.658,0.8493,1.0,0.6309,10,0.027,0.8287,1.0,0.6289,15,0.048,15.63,12.82
authzforce_0158.xml,authzforce,1,0.9582,1.0,0.556,10,0.668,0.8493,1.0,0.6309,10,0.033,0.8287,1.0,0.6289,15,0.048,15.63,12.82
authzforce_0159.xml,authzforce,1,0.9582,1.0,0.556,10,0.675,0.8493,1.0,0.6309,10,0.035,0.8287,1.0,0.6289,15,0.043,15.63,12.82
authzforce_0160.xml,authzforce,1,0.9582,1.0,0.556,10,0.68,0.8493,1.0,0.6309,10,0.032,0.8287,1.0,0.6289,15,0.045,15.63,12.82
authzforce_0161.xml,authzforce,1,0.9582,1.0,0.556,10,1.126,0.8493,1.0,0.6309,10,0.114,0.8287,1.0,0.6289,15,0.113,15.63,12.82
authzforce_0162.xml,authzforce,1,0.9582,1.0,0.556,10,1.033,0.8493,1.0,0.6309,10,0.028,0.8287,1.0,0.6289,15,0.045,15.63,12.82
authzforce_0163.xml,authzforce,1,0.9582,1.0,0.556,10,0.816,0.8493,1.0,0.6309,10,0.042,0.8287,1.0,0.6289,15,0.059,15.63,12.82
authzforce_0164.xml,authzforce,1,0.9582,1.0,0.556,10,0.713,0.8493,1.0,0.6309,10,0.027,0.8287,1.0,0.6289,15,0.056,15.63,12.82
authzforce_0165.xml,authzforce,1,0.9582,1.0,0.556,10,0.937,0.8493,1.0,0.6309,10,0.099,0.8287,1.0,0.6289,15,0.173,15.63,12.82
